date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,day_of_week,hour_of_day,is_weekend
2024-04-23,11H 12M 0S,Tuesday,BLOOR STATION,SUDP,0,0,S,YU,6076,Tuesday,11,FALSE
2024-04-23,11H 12M 0S,Tuesday,EGLINTON STATION,SUO,6,11,S,YU,6076,Tuesday,11,FALSE
2024-04-23,11H 18M 0S,Tuesday,SPADINA BD STATION,SUUT,7,11,W,BD,5139,Tuesday,11,FALSE
2024-04-23,11H 32M 0S,Tuesday,BLOOR STATION,SUO,3,8,S,YU,5876,Tuesday,11,FALSE
2024-04-23,11H 44M 0S,Tuesday,RUNNYMEDE STATION,MUSAN,7,11,W,BD,5289,Tuesday,11,FALSE
2024-04-23,12H 13M 0S,Tuesday,KING STATION,MUATC,0,0,N,YU,5931,Tuesday,12,FALSE
2024-04-23,12H 23M 0S,Tuesday,LANSDOWNE STATION,MUDD,6,10,E,BD,5181,Tuesday,12,FALSE
2024-04-23,12H 46M 0S,Tuesday,PAPE STATION,MUPAA,0,0,E,BD,5181,Tuesday,12,FALSE
2024-04-23,12H 49M 0S,Tuesday,RUNNYMEDE STATION,SUO,0,0,NA,BD,0,Tuesday,12,FALSE
2024-04-23,13H 19M 0S,Tuesday,DONLANDS STATION,MUIRS,0,0,NA,BD,0,Tuesday,13,FALSE
2024-04-23,13H 21M 0S,Tuesday,COLLEGE STATION,MUIS,0,0,NA,YU,0,Tuesday,13,FALSE
2024-04-23,13H 43M 0S,Tuesday,KENNEDY BD STATION,EUSC,3,7,W,BD,5267,Tuesday,13,FALSE
2024-04-23,13H 53M 0S,Tuesday,VICTORIA PARK STATION,PUTDN,3,7,W,BD,5267,Tuesday,13,FALSE
2024-04-23,14H 23M 0S,Tuesday,DUNDAS STATION,SUO,0,0,N,YU,5816,Tuesday,14,FALSE
2024-04-23,14H 48M 0S,Tuesday,SHEPPARD WEST STATION,TUNIP,10,15,N,YU,5896,Tuesday,14,FALSE
2024-04-23,15H 27M 0S,Tuesday,DUPONT STATION,MUATC,0,0,S,YU,5496,Tuesday,15,FALSE
2024-04-23,15H 41M 0S,Tuesday,SUMMERHILL STATION,MUIR,7,12,S,YU,5386,Tuesday,15,FALSE
2024-04-23,15H 46M 0S,Tuesday,MAIN STREET STATION,SUO,0,0,NA,BD,0,Tuesday,15,FALSE
2024-04-23,15H 46M 0S,Tuesday,UNION STATION,MUIS,0,0,NA,YU,0,Tuesday,15,FALSE
2024-04-23,16H 15M 0S,Tuesday,KENNEDY BD STATION,MUIRS,0,0,NA,BD,0,Tuesday,16,FALSE
2024-04-23,16H 18M 0S,Tuesday,KING STATION,MUI,13,16,S,YU,5916,Tuesday,16,FALSE
2024-04-23,16H 30M 0S,Tuesday,ST GEORGE BD STATION,SUDP,3,6,E,BD,5368,Tuesday,16,FALSE
2024-04-23,16H 32M 0S,Tuesday,YORK MILLS STATION,MUPAA,3,6,N,YU,5891,Tuesday,16,FALSE
2024-04-23,16H 43M 0S,Tuesday,EGLINTON WEST STATION,MUSAN,12,15,S,YU,5511,Tuesday,16,FALSE
2024-04-23,16H 47M 0S,Tuesday,SHEPPARD STATION,SUDP,3,6,N,YU,5856,Tuesday,16,FALSE
2024-04-23,17H 1M 0S,Tuesday,DUNDAS STATION,MUPAA,4,7,N,YU,5951,Tuesday,17,FALSE
2024-04-23,17H 31M 0S,Tuesday,ST CLAIR WEST STATION,PUMST,0,0,NA,YU,0,Tuesday,17,FALSE
2024-04-23,17H 37M 0S,Tuesday,GREENWOOD CARHOUSE,SUG,0,0,NA,BD,0,Tuesday,17,FALSE
2024-04-23,17H 51M 0S,Tuesday,WELLESLEY STATION,SUDP,4,7,S,YU,5981,Tuesday,17,FALSE
2024-04-23,17H 59M 0S,Tuesday,GREENWOOD YARD,PUTOE,0,0,NA,BD,0,Tuesday,17,FALSE
2024-04-23,18H 9M 0S,Tuesday,FINCH STATION,MUSAN,3,6,S,YU,5506,Tuesday,18,FALSE
2024-04-23,18H 36M 0S,Tuesday,MUSEUM STATION,SUDP,0,0,S,YU,5491,Tuesday,18,FALSE
2024-04-23,18H 59M 0S,Tuesday,ROSEDALE STATION,MUPAA,5,8,N,YU,5946,Tuesday,18,FALSE
2024-04-23,19H 40M 0S,Tuesday,UNION STATION,SUDP,0,0,N,YU,0,Tuesday,19,FALSE
2024-04-23,19H 48M 0S,Tuesday,ST PATRICK STATION,MUNCA,0,0,NA,YU,0,Tuesday,19,FALSE
2024-04-23,20H 23M 0S,Tuesday,KENNEDY BD STATION,TUMVS,0,0,E,BD,5181,Tuesday,20,FALSE
2024-04-23,20H 33M 0S,Tuesday,BLOOR STATION,MUIS,0,0,NA,YU,0,Tuesday,20,FALSE
2024-04-23,20H 56M 0S,Tuesday,KENNEDY BD STATION,SUDP,15,21,W,BD,0,Tuesday,20,FALSE
2024-04-23,21H 15M 0S,Tuesday,WELLESLEY STATION,SUO,0,0,NA,YU,0,Tuesday,21,FALSE
2024-04-23,21H 39M 0S,Tuesday,DONLANDS STATION,TUO,3,9,W,BD,5011,Tuesday,21,FALSE
2024-04-23,21H 51M 0S,Tuesday,DONLANDS STATION,SUUT,36,45,W,BD,5295,Tuesday,21,FALSE
2024-04-23,21H 54M 0S,Tuesday,OSSINGTON STATION,MUIS,0,0,NA,BD,0,Tuesday,21,FALSE
2024-04-23,22H 0M 0S,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Tuesday,22,FALSE
2024-04-23,22H 39M 0S,Tuesday,WOODBINE STATION,MUSC,0,0,E,BD,5181,Tuesday,22,FALSE
2024-04-23,23H 2M 0S,Tuesday,DUNDAS STATION,MUIS,0,0,NA,YU,0,Tuesday,23,FALSE
2024-04-23,23H 13M 0S,Tuesday,DAVISVILLE STATION,MUNCA,0,0,NA,YU,0,Tuesday,23,FALSE
2024-04-23,23H 45M 0S,Tuesday,SHERBOURNE STATION,MUIS,0,0,E,BD,0,Tuesday,23,FALSE
2024-04-23,0S,Tuesday,MUSEUM STATION,PUOPO,4,9,N,YU,5956,Tuesday,0,FALSE
2024-04-23,13M 0S,Tuesday,ST ANDREW STATION,MUD,12,17,N,YU,5811,Tuesday,0,FALSE
2024-04-23,21M 0S,Tuesday,COXWELL STATION,SUO,0,0,NA,BD,0,Tuesday,0,FALSE
2024-04-23,36M 0S,Tuesday,DUNDAS WEST STATION,MUIR,17,22,E,BD,5199,Tuesday,0,FALSE
2024-04-23,49M 0S,Tuesday,COLLEGE STATION,MUIS,0,0,NA,YU,0,Tuesday,0,FALSE
2024-04-23,1H 30M 0S,Tuesday,KENNEDY BD STATION,SUDP,0,0,NA,BD,5328,Tuesday,1,FALSE
2024-04-23,3H 34M 0S,Tuesday,BESSARION STATION,SUG,0,0,E,SHP,6161,Tuesday,3,FALSE
2024-04-23,21H 15M 0S,Tuesday,DON MILLS STATION,SUO,3,10,W,SHP,6156,Tuesday,21,FALSE
2024-04-24,2H 0M 0S,Wednesday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Wednesday,2,FALSE
2024-04-24,2H 24M 0S,Wednesday,EGLINTON STATION,MUIS,0,0,NA,YU,0,Wednesday,2,FALSE
2024-04-24,2H 53M 0S,Wednesday,KIPLING STATION,MUIS,0,0,NA,BD,0,Wednesday,2,FALSE
2024-04-24,2H 55M 0S,Wednesday,FINCH STATION,SUO,0,0,NA,YU,0,Wednesday,2,FALSE
2024-04-24,3H 50M 0S,Wednesday,GREENWOOD YARD,SUO,0,0,NA,BD,5030,Wednesday,3,FALSE
2024-04-24,5H 41M 0S,Wednesday,WOODBINE STATION,PUTWZ,10,0,E,BD,5203,Wednesday,5,FALSE
2024-04-24,5H 48M 0S,Wednesday,MAIN STREET STATION,PUTWZ,5,0,W,BD,5051,Wednesday,5,FALSE
2024-04-24,5H 49M 0S,Wednesday,WARDEN STATION,TUO,0,0,W,BD,5051,Wednesday,5,FALSE
2024-04-24,5H 56M 0S,Wednesday,GREENWOOD STATION,SUG,5,10,E,BD,5032,Wednesday,5,FALSE
2024-04-24,5H 57M 0S,Wednesday,SHEPPARD WEST STATION,EUME,4,10,N,YU,6036,Wednesday,5,FALSE
2024-04-24,6H 0M 0S,Wednesday,TORONTO TRANSIT COMMIS,MUO,0,0,NA,YUS/BD,0,Wednesday,6,FALSE
2024-04-24,6H 13M 0S,Wednesday,VICTORIA PARK STATION,MUIS,0,0,NA,BD,0,Wednesday,6,FALSE
2024-04-24,6H 20M 0S,Wednesday,OSSINGTON STATION,PUTOE,12,15,W,BD,5081,Wednesday,6,FALSE
2024-04-24,7H 33M 0S,Wednesday,CASTLE FRANK STATION,EUNT,3,5,E,BD,5194,Wednesday,7,FALSE
2024-04-24,7H 37M 0S,Wednesday,ISLINGTON STATION,MUSC,0,0,E,BD,5342,Wednesday,7,FALSE
2024-04-24,7H 52M 0S,Wednesday,WARDEN STATION,TUO,0,0,W,BD,5193,Wednesday,7,FALSE
2024-04-24,8H 5M 0S,Wednesday,ROYAL YORK STATION,MUIE,0,0,NA,BD,0,Wednesday,8,FALSE
2024-04-24,8H 29M 0S,Wednesday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Wednesday,8,FALSE
2024-04-24,8H 46M 0S,Wednesday,ST CLAIR STATION,PUMO,0,0,NA,YU,0,Wednesday,8,FALSE
2024-04-24,8H 57M 0S,Wednesday,VAUGHAN MC STATION,MUATC,4,7,S,YU,6116,Wednesday,8,FALSE
2024-04-24,9H 10M 0S,Wednesday,KIPLING STATION,SUDP,0,0,NA,BD,0,Wednesday,9,FALSE
2024-04-24,9H 13M 0S,Wednesday,BLOOR STATION,SUO,0,0,S,YU,5531,Wednesday,9,FALSE
2024-04-24,9H 34M 0S,Wednesday,DUNDAS WEST STATION,SUDP,0,0,NA,BD,0,Wednesday,9,FALSE
2024-04-24,9H 52M 0S,Wednesday,BAY STATION,PUMST,0,0,NA,BD,0,Wednesday,9,FALSE
2024-04-24,9H 58M 0S,Wednesday,SHEPPARD WEST STATION,MUPAA,0,0,N,YU,5566,Wednesday,9,FALSE
2024-04-24,10H 2M 0S,Wednesday,WOODBINE STATION,SUO,0,0,NA,BD,0,Wednesday,10,FALSE
2024-04-24,10H 26M 0S,Wednesday,FINCH STATION,SUO,0,0,NA,YU,0,Wednesday,10,FALSE
2024-04-24,11H 0M 0S,Wednesday,BAY STATION,SUDP,0,0,W,BD,0,Wednesday,11,FALSE
2024-04-24,11H 35M 0S,Wednesday,COLLEGE STATION,SUUT,0,0,N,YU,5496,Wednesday,11,FALSE
2024-04-24,11H 39M 0S,Wednesday,ROYAL YORK STATION,MUIS,0,0,NA,BD,0,Wednesday,11,FALSE
2024-04-24,11H 46M 0S,Wednesday,CASTLE FRANK STATION,SUO,0,0,W,BD,0,Wednesday,11,FALSE
2024-04-24,12H 1M 0S,Wednesday,LAWRENCE STATION,SUDP,10,15,S,YU,5566,Wednesday,12,FALSE
2024-04-24,12H 17M 0S,Wednesday,QUEEN STATION,SUO,13,18,S,YU,5996,Wednesday,12,FALSE
2024-04-24,12H 50M 0S,Wednesday,SHEPPARD WEST STATION,MUIR,0,0,N,YU,5996,Wednesday,12,FALSE
2024-04-24,12H 52M 0S,Wednesday,EGLINTON STATION,PUTO,0,0,N,YU,0,Wednesday,12,FALSE
2024-04-24,13H 17M 0S,Wednesday,OSGOODE STATION,MUIRS,0,0,NA,YU,0,Wednesday,13,FALSE
2024-04-24,13H 17M 0S,Wednesday,LAWRENCE STATION,PUMEL,0,0,NA,YU,0,Wednesday,13,FALSE
2024-04-24,13H 18M 0S,Wednesday,COXWELL STATION,TUSC,0,0,W,BD,5054,Wednesday,13,FALSE
2024-04-24,13H 24M 0S,Wednesday,YORKDALE STATION,TUCC,6,10,S,YU,5946,Wednesday,13,FALSE
2024-04-24,13H 46M 0S,Wednesday,SPADINA YUS STATION,MUPLC,0,0,N,YU,5971,Wednesday,13,FALSE
2024-04-24,13H 50M 0S,Wednesday,SPADINA BD STATION,MUPLC,0,0,W,BD,5311,Wednesday,13,FALSE
2024-04-24,13H 59M 0S,Wednesday,ROYAL YORK STATION,MUPAA,0,0,W,BD,5333,Wednesday,13,FALSE
2024-04-24,14H 17M 0S,Wednesday,LAWRENCE STATION,MUIR,17,22,S,YU,5591,Wednesday,14,FALSE
2024-04-24,14H 22M 0S,Wednesday,COXWELL STATION,TUS,4,8,E,BD,5264,Wednesday,14,FALSE
2024-04-24,14H 40M 0S,Wednesday,ST GEORGE BD STATION,SUDP,10,14,E,BD,5301,Wednesday,14,FALSE
2024-04-24,14H 42M 0S,Wednesday,YONGE BD STATION,MUO,4,8,W,BD,5071,Wednesday,14,FALSE
2024-04-24,15H 5M 0S,Wednesday,ROSEDALE STATION,SUDP,0,0,N,YU,0,Wednesday,15,FALSE
2024-04-24,15H 18M 0S,Wednesday,QUEEN'S PARK STATION,PUOPO,0,0,N,YU,5941,Wednesday,15,FALSE
2024-04-24,15H 27M 0S,Wednesday,BATHURST STATION,SUUT,4,7,E,BD,5302,Wednesday,15,FALSE
2024-04-24,15H 48M 0S,Wednesday,MUSEUM STATION,SUUT,7,12,N,YU,5646,Wednesday,15,FALSE
2024-04-24,16H 20M 0S,Wednesday,BLOOR STATION,SUO,0,0,S,YU,5971,Wednesday,16,FALSE
2024-04-24,16H 29M 0S,Wednesday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Wednesday,16,FALSE
2024-04-24,16H 42M 0S,Wednesday,VAUGHAN MC STATION,SUG,3,6,S,YU,5611,Wednesday,16,FALSE
2024-04-24,16H 48M 0S,Wednesday,KIPLING STATION,SUO,0,0,NA,BD,0,Wednesday,16,FALSE
2024-04-24,17H 9M 0S,Wednesday,HIGHWAY 407 STATION,PUOPO,7,10,S,YU,6136,Wednesday,17,FALSE
2024-04-24,17H 12M 0S,Wednesday,EGLINTON WEST STATION,SUDP,0,0,N,YU,5656,Wednesday,17,FALSE
2024-04-24,17H 18M 0S,Wednesday,PIONEER VILLAGE STATIO,PUOPO,6,9,S,YU,6136,Wednesday,17,FALSE
2024-04-24,17H 25M 0S,Wednesday,BLOOR STATION,SUDP,0,0,NA,YU,0,Wednesday,17,FALSE
2024-04-24,17H 26M 0S,Wednesday,YORKDALE STATION,PUMST,0,0,NA,YU,0,Wednesday,17,FALSE
2024-04-24,17H 26M 0S,Wednesday,QUEEN'S PARK STATION,MUIRS,0,0,NA,YU,0,Wednesday,17,FALSE
2024-04-24,17H 32M 0S,Wednesday,PAPE STATION,MUO,0,0,E,BD,5314,Wednesday,17,FALSE
2024-04-24,17H 59M 0S,Wednesday,ST PATRICK STATION,PUOPO,3,6,S,YU,6056,Wednesday,17,FALSE
2024-04-24,18H 7M 0S,Wednesday,MAIN STREET STATION,SUO,0,0,W,BD,5175,Wednesday,18,FALSE
2024-04-24,18H 46M 0S,Wednesday,KEELE STATION,MUSC,0,0,E,BD,5111,Wednesday,18,FALSE
2024-04-24,18H 50M 0S,Wednesday,DUPONT STATION,PUSAC,0,0,S,YU,5876,Wednesday,18,FALSE
2024-04-24,18H 51M 0S,Wednesday,WELLESLEY STATION,MUIS,0,0,NA,YU,0,Wednesday,18,FALSE
2024-04-24,18H 55M 0S,Wednesday,VAUGHAN MC STATION,MUATC,3,6,S,YU,5716,Wednesday,18,FALSE
2024-04-24,19H 39M 0S,Wednesday,KENNEDY BD STATION,MUIS,0,0,NA,BD,0,Wednesday,19,FALSE
2024-04-24,20H 7M 0S,Wednesday,BLOOR STATION,MUPAA,6,11,N,YU,5716,Wednesday,20,FALSE
2024-04-24,20H 12M 0S,Wednesday,WARDEN STATION,SUO,34,39,E,BD,5032,Wednesday,20,FALSE
2024-04-24,20H 18M 0S,Wednesday,SPADINA YUS STATION,SUAE,0,0,NA,YU,0,Wednesday,20,FALSE
2024-04-24,20H 32M 0S,Wednesday,UNION STATION,SUAP,5,10,N,YU,5926,Wednesday,20,FALSE
2024-04-24,21H 12M 0S,Wednesday,SHEPPARD WEST STATION,MUPAA,4,9,N,YU,5591,Wednesday,21,FALSE
2024-04-24,21H 25M 0S,Wednesday,DUPONT STATION,PUSAC,4,9,S,YU,6026,Wednesday,21,FALSE
2024-04-24,21H 28M 0S,Wednesday,SHEPPARD STATION,SUUT,0,0,NA,YU,0,Wednesday,21,FALSE
2024-04-24,22H 0M 0S,Wednesday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/ BD,0,Wednesday,22,FALSE
2024-04-24,22H 1M 0S,Wednesday,ST ANDREW STATION,SUAP,4,9,S,YU,5601,Wednesday,22,FALSE
2024-04-24,22H 13M 0S,Wednesday,KENNEDY BD STATION,SUO,0,0,NA,BD,0,Wednesday,22,FALSE
2024-04-24,22H 13M 0S,Wednesday,BLOOR STATION,MUIR,0,0,S,YU,5901,Wednesday,22,FALSE
2024-04-24,22H 18M 0S,Wednesday,OSSINGTON STATION,MUIS,0,0,NA,BD,0,Wednesday,22,FALSE
2024-04-24,23H 13M 0S,Wednesday,UNION STATION,SUUT,22,27,N,YU,6126,Wednesday,23,FALSE
2024-04-24,23H 28M 0S,Wednesday,DUNDAS WEST STATION,MUDD,3,8,W,BD,2157,Wednesday,23,FALSE
2024-04-24,23H 56M 0S,Wednesday,LANSDOWNE STATION,MUPAA,0,0,E,BD,5226,Wednesday,23,FALSE
2024-04-24,20M 0S,Wednesday,BROADVIEW STATION,MUIS,0,0,NA,BD,0,Wednesday,0,FALSE
2024-04-24,43M 0S,Wednesday,QUEEN STATION,SUUT,0,0,N,YU,0,Wednesday,0,FALSE
2024-04-24,46M 0S,Wednesday,VAUGHAN MC STATION,MUPAA,0,0,N,YU,5676,Wednesday,0,FALSE
2024-04-24,52M 0S,Wednesday,WOODBINE STATION,MUNCA,0,0,NA,BD,0,Wednesday,0,FALSE
2024-04-24,1H 14M 0S,Wednesday,SPADINA BD STATION,PUMEL,0,0,E,BD,0,Wednesday,1,FALSE
2024-04-24,1H 19M 0S,Wednesday,COXWELL STATION,SUO,0,0,W,BD,5363,Wednesday,1,FALSE
2024-04-24,1H 20M 0S,Wednesday,SHEPPARD STATION,MUIS,0,0,N,YU,0,Wednesday,1,FALSE
2024-04-24,1H 46M 0S,Wednesday,KIPLING STATION,MUIRS,0,0,NA,BD,0,Wednesday,1,FALSE
2024-04-24,1H 53M 0S,Wednesday,DUNDAS WEST STATION,MUIS,0,0,NA,BD,0,Wednesday,1,FALSE
2024-04-24,1H 57M 0S,Wednesday,BATHURST STATION,SUDP,0,0,E,BD,0,Wednesday,1,FALSE
2024-04-24,5H 31M 0S,Wednesday,DON MILLS STATION,MUSC,0,0,W,SHP,6151,Wednesday,5,FALSE
2024-04-24,6H 0M 0S,Wednesday,TORONTO TRANSIT COMMIS,MUO,0,0,NA,SHP,0,Wednesday,6,FALSE
2024-04-24,15H 25M 0S,Wednesday,SHEPPARD-YONGE STATION,SUO,0,0,NA,SHP,0,Wednesday,15,FALSE
2024-04-24,16H 25M 0S,Wednesday,DON MILLS STATION,SUO,5,12,W,SHP,6146,Wednesday,16,FALSE
2024-04-24,19H 37M 0S,Wednesday,DON MILLS STATION,SUAP,23,30,E,SHP,6161,Wednesday,19,FALSE
2024-04-24,19H 42M 0S,Wednesday,DON MILLS STATION,SUDP,22,29,W,SHP,6146,Wednesday,19,FALSE
2024-04-25,2H 5M 0S,Thursday,DAVISVILLE CARHOUSE,SUG,0,0,NA,YU,0,Thursday,2,FALSE
2024-04-25,2H 20M 0S,Thursday,JANE STATION,MUIS,0,0,NA,BD,0,Thursday,2,FALSE
2024-04-25,2H 48M 0S,Thursday,HIGHWAY 407 STATION,SUO,0,0,NA,YU,0,Thursday,2,FALSE
2024-04-25,2H 53M 0S,Thursday,FINCH STATION,SUDP,0,0,NA,YU,0,Thursday,2,FALSE
2024-04-25,4H 45M 0S,Thursday,QUEEN'S PARK STATION,SUUT,0,0,S,YU,0,Thursday,4,FALSE
2024-04-25,5H 32M 0S,Thursday,EGLINTON WEST STATION,MUNCA,0,0,NA,YU,0,Thursday,5,FALSE
2024-04-25,5H 55M 0S,Thursday,EGLINTON STATION,PUOPO,3,7,N,YU,6031,Thursday,5,FALSE
2024-04-25,6H 4M 0S,Thursday,PAPE STATION,MUPAA,0,0,W,BD,5264,Thursday,6,FALSE
2024-04-25,6H 35M 0S,Thursday,KEELE STATION,MUSC,0,0,W,BD,5275,Thursday,6,FALSE
2024-04-25,6H 38M 0S,Thursday,SHEPPARD STATION,PUTO,10,13,S,YU,5881,Thursday,6,FALSE
2024-04-25,7H 9M 0S,Thursday,ST CLAIR STATION,SUO,0,0,NA,YU,0,Thursday,7,FALSE
2024-04-25,8H 17M 0S,Thursday,COLLEGE STATION,SUDP,0,0,NA,YU,0,Thursday,8,FALSE
2024-04-25,8H 33M 0S,Thursday,DUPONT STATION,MUDD,15,18,S,YU,5856,Thursday,8,FALSE
2024-04-25,8H 40M 0S,Thursday,ST PATRICK STATION,MUIS,0,0,NA,YU,0,Thursday,8,FALSE
2024-04-25,8H 49M 0S,Thursday,CHRISTIE STATION,MUSC,3,5,E,BD,5347,Thursday,8,FALSE
2024-04-25,9H 41M 0S,Thursday,CASTLE FRANK STATION,SUAP,0,0,W,BD,0,Thursday,9,FALSE
2024-04-25,9H 56M 0S,Thursday,DUNDAS WEST STATION,SUAE,0,0,W,BD,5338,Thursday,9,FALSE
2024-04-25,11H 2M 0S,Thursday,KENNEDY BD STATION,MUSAN,0,0,W,BD,5178,Thursday,11,FALSE
2024-04-25,11H 11M 0S,Thursday,LAWRENCE STATION,PUOPO,0,0,N,YU,5926,Thursday,11,FALSE
2024-04-25,11H 32M 0S,Thursday,KENNEDY BD STATION,MUSAN,5,10,E,BD,5178,Thursday,11,FALSE
2024-04-25,12H 11M 0S,Thursday,ST GEORGE BD STATION,SUUT,9,13,E,BD,5089,Thursday,12,FALSE
2024-04-25,12H 13M 0S,Thursday,ST GEORGE YUS STATION,SUDP,0,0,N,YU,6036,Thursday,12,FALSE
2024-04-25,13H 28M 0S,Thursday,DONLANDS STATION,MUIR,11,15,E,BD,5250,Thursday,13,FALSE
2024-04-25,13H 43M 0S,Thursday,CASTLE FRANK STATION,MUIR,5,9,W,BD,5071,Thursday,13,FALSE
2024-04-25,14H 1M 0S,Thursday,EGLINTON STATION,PUMEL,0,0,NA,YU,0,Thursday,14,FALSE
2024-04-25,14H 11M 0S,Thursday,YONGE BD STATION,PUMST,0,0,NA,BD,0,Thursday,14,FALSE
2024-04-25,14H 28M 0S,Thursday,KING STATION,SUDP,5,10,N,YU,5746,Thursday,14,FALSE
2024-04-25,14H 30M 0S,Thursday,HIGHWAY 407 STATION,PUOPO,5,10,S,YU,5476,Thursday,14,FALSE
2024-04-25,14H 40M 0S,Thursday,CASTLE FRANK STATION,PUMO,0,0,NA,BD,0,Thursday,14,FALSE
2024-04-25,14H 58M 0S,Thursday,LAWRENCE STATION,EUCO,7,12,S,YU,6051,Thursday,14,FALSE
2024-04-25,15H 10M 0S,Thursday,EGLINTON STATION,EUCD,3,8,S,YU,6051,Thursday,15,FALSE
2024-04-25,15H 31M 0S,Thursday,GREENWOOD STATION,SUDP,7,10,E,BD,5283,Thursday,15,FALSE
2024-04-25,15H 36M 0S,Thursday,ISLINGTON TO KIPLING,MUPLB,640,645,E,BD,5289,Thursday,15,FALSE
2024-04-25,16H 9M 0S,Thursday,WARDEN STATION,PUMST,0,0,NA,BD,0,Thursday,16,FALSE
2024-04-25,16H 20M 0S,Thursday,KEELE STATION,PUMEL,0,0,NA,BD,0,Thursday,16,FALSE
2024-04-25,17H 11M 0S,Thursday,SPADINA YUS STATION,MUIS,0,0,NA,YU,0,Thursday,17,FALSE
2024-04-25,18H 53M 0S,Thursday,FINCH STATION,SUO,46,49,N,YU,3134,Thursday,18,FALSE
2024-04-25,18H 59M 0S,Thursday,YONGE BD STATION,SUDP,4,7,W,BD,5273,Thursday,18,FALSE
2024-04-25,19H 25M 0S,Thursday,EGLINTON STATION,MUATC,10,13,N,YU,5711,Thursday,19,FALSE
2024-04-25,19H 51M 0S,Thursday,ST GEORGE YUS STATION,SUDP,4,9,N,YU,5641,Thursday,19,FALSE
2024-04-25,19H 58M 0S,Thursday,ST PATRICK STATION,SUDP,0,0,S,YU,5856,Thursday,19,FALSE
2024-04-25,20H 4M 0S,Thursday,DUFFERIN STATION,SUDP,0,0,NA,BD,0,Thursday,20,FALSE
2024-04-25,20H 4M 0S,Thursday,ROYAL YORK STATION,MUPLB,5,10,W,BD,5011,Thursday,20,FALSE
2024-04-25,20H 21M 0S,Thursday,NORTH YORK CTR STATION,TUCC,0,0,S,YU,5971,Thursday,20,FALSE
2024-04-25,20H 46M 0S,Thursday,ISLINGTON STATION,MUPLB,0,0,W,BD,5196,Thursday,20,FALSE
2024-04-25,20H 48M 0S,Thursday,FINCH WEST STATION,MUPAA,0,0,N,YU,5591,Thursday,20,FALSE
2024-04-25,21H 18M 0S,Thursday,ST CLAIR WEST STATION,MUSAN,5,10,N,YU,5661,Thursday,21,FALSE
2024-04-25,21H 19M 0S,Thursday,KEELE STATION,SUDP,0,0,W,BD,0,Thursday,21,FALSE
2024-04-25,21H 49M 0S,Thursday,BROADVIEW STATION,MUIS,0,0,NA,BD,0,Thursday,21,FALSE
2024-04-25,22H 0M 0S,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,NA,YU/BD,0,Thursday,22,FALSE
2024-04-25,22H 21M 0S,Thursday,COLLEGE STATION,MUIS,0,0,NA,YU,0,Thursday,22,FALSE
2024-04-25,22H 27M 0S,Thursday,LANSDOWNE STATION,SUROB,0,0,NA,BD,0,Thursday,22,FALSE
2024-04-25,22H 45M 0S,Thursday,ST CLAIR STATION,SUO,22,27,S,YU,5396,Thursday,22,FALSE
2024-04-25,22H 49M 0S,Thursday,JANE STATION,MUIS,0,0,NA,BD,0,Thursday,22,FALSE
2024-04-25,22H 50M 0S,Thursday,YORK MILLS STATION,MUIR,4,9,N,YU,6052,Thursday,22,FALSE
2024-04-25,22H 57M 0S,Thursday,BLOOR STATION,MUIS,0,0,N,YU,0,Thursday,22,FALSE
2024-04-25,23H 10M 0S,Thursday,SUMMERHILL STATION,SUUT,0,0,S,YU,5396,Thursday,23,FALSE
2024-04-25,23H 27M 0S,Thursday,HIGH PARK STATION,MUDD,8,16,W,BD,5363,Thursday,23,FALSE
2024-04-25,23H 38M 0S,Thursday,WOODBINE STATION,MUIS,0,0,W,BD,0,Thursday,23,FALSE
2024-04-25,23H 52M 0S,Thursday,SPADINA BD STATION,MUIS,0,0,W,BD,5247,Thursday,23,FALSE
2024-04-25,47M 0S,Thursday,ST GEORGE YUS STATION,SUO,0,0,NA,YU,0,Thursday,0,FALSE
2024-04-25,50M 0S,Thursday,DUNDAS STATION,SUROB,0,0,S,YU,0,Thursday,0,FALSE
2024-04-25,1H 42M 0S,Thursday,VAUGHAN MC STATION,MUIS,0,0,NA,YU,0,Thursday,1,FALSE
2024-04-25,1H 51M 0S,Thursday,VAUGHAN MC STATION,MUIRS,0,0,NA,YU,0,Thursday,1,FALSE
2024-04-25,1H 53M 0S,Thursday,KENNEDY BD STATION,SUDP,0,0,NA,BD,0,Thursday,1,FALSE
2024-04-25,1H 55M 0S,Thursday,EGLINTON STATION,MUPAA,5,10,N,YU,5391,Thursday,1,FALSE
2024-04-25,12H 4M 0S,Thursday,BAYVIEW STATION,PUMEL,0,0,NA,SHP,0,Thursday,12,FALSE
2024-04-25,12H 9M 0S,Thursday,WILFRED EE,SUO,0,0,NA,SHP,0,Thursday,12,FALSE
2024-04-26,2H 3M 0S,Friday,SHERBOURNE STATION,MUIE,0,0,NA,BD,0,Friday,2,FALSE
2024-04-26,2H 28M 0S,Friday,FINCH STATION,MUIS,0,0,NA,YU,0,Friday,2,FALSE
